ncl,Npix,Nvox,maxpix,maxpix x,maxpix y,maxpix v,vmax,Tmax,meansigv,errsigv,ellipse fit a,ellipse fit b,ellipse theta,ellipse R,ellipse R error,area,perimeter,area npix
1,5602,20441,6.0052814,24,1612,685,1420,1.9116662,24.89950849,0.8379657867,16.93031516,35.73482242,-16.941351,35.89534015,18.46099141,15474.25756,886.9754927,12490.94808
2,3909,15759,4.873428,41,442,1055,1510,2.1755586,19.65053372,5.84E-01,22.75374735,30.19684712,7.782344401,38.799295,9.689231352,10629.07576,692.8562771,8716.015
3,5849,15337,4.5247765,37,449,1120,1490,1.723993,33.32344873,1.470739166,25.00060872,66.48431507,4.971420189,63.88920756,38.7358571,17931.40912,1520.10278,13041.69141
4,4379,17145,4.404881,38,408,1130,1490,1.9434578,20.6354893,7.06E-01,45.11071149,19.14267707,-23.00758601,44.40297629,16.05294867,12053.86691,836.2058517,9763.988152
5,6569,20883,4.3073,42,1867,577,1510,1.6394027,26.64233838,1.056526806,33.76186749,44.34924287,-17.49400855,60.38442012,15.28603253,21122.1386,1496.211185,14647.09709
6,1916,4306,4.2252045,61,1986,1459,1605,1.4887816,13.13932285,4.76E-01,18.03680184,33.21536936,23.34355431,35.67741912,18.24738571,6602.201245,758.5581655,4272.162891
7,1791,5704,3.7688224,13,1668,759,1360,1.7614633,19.63181977,0.8288143086,20.10949639,15.79700139,-9.142959531,23.0052693,8.799205821,5855.245008,507.69641,3993.446627
8,3130,8830,3.6741154,25,1480,1281,1425,1.6611687,24.80925659,9.76E-01,17.47068567,31.52732856,11.7538792,33.84177566,20.41038545,9135.16329,695.8427266,6979.055244
9,2147,5410,3.6627998,40,406,1062,1505,1.6306119,18.83394335,8.72E-01,17.34165142,29.04183452,4.331521684,31.94720887,15.14251507,6693.619769,719.7343224,4787.230546
10,2026,4163,3.418317,38,951,1106,1490,1.611069,9.752849454,3.47E-01,34.98603531,13.27415773,-11.67106997,30.28171928,22.46645457,6147.338343,665.9782319,4517.433203
11,3626,6544,3.1833231,34,616,1440,1480,1.4837078,18.58982221,0.8095429715,20.66179458,15.40730684,9.982416672,23.04387917,9.198223937,12334.81165,1167.701743,8085.001379
12,973,1906,2.809342,44,1784,570,1515,1.4826018,9.90973178,3.65E-01,18.99856772,15.26727936,38.61564458,21.36067174,6.998567329,3951.064034,561.4525004,2169.527397
13,834,904,2.7970574,47,1515,1014,1535,1.4525679,4.828893315,1.27E-01,20.71123991,14.36582663,-14.54342146,21.81826923,16.42355059,2593.164488,301.6313965,1859.594912
14,2707,6025,2.7486537,55,2207,857,1575,1.5057307,13.05118609,4.68E-01,33.36438918,27.3646496,-44.71412618,45.85115528,6.318190112,7955.641352,674.9375803,6035.879408
15,3607,9052,2.6983237,28,1475,1206,1440,1.3789603,22.29366563,9.78E-01,20.53648564,29.70812668,19.33779964,36.08251715,12.83023372,12265.69032,1066.162461,8042.636507
